object_name,collection,zone,cx,cy,bottom_z,ground_z,gap_m,action
Ribera_22_1_3,Collection,B_gorge,27.6,33.37,15.434,-15.581,31.015,manual_review_wall
Ribera_21_1_3,Collection,B_gorge,20.43,27.23,12.748,-18.139,30.888,manual_review_wall
Ribera_22_1_0,Collection,B_gorge,26.77,34.46,15.096,-15.7,30.797,manual_review_wall
Ribera_21_1_2,Collection,B_gorge,21.03,26.62,12.806,-17.922,30.728,manual_review_wall
Lib_Rock_03.004,Collection,B_gorge,-116.51,107.23,-0.889,-31.597,30.708,manual_review_wall
Bush_Old_012,Collection,D_forest,88.94,-63.04,44.366,13.958,30.408,snap_bottom
Rock_Old_102,Collection,B_gorge,8.0,35.0,8.958,-21.443,30.401,manual_review_wall
Lib_Rock_04.002,Collection,A_crater,-119.94,111.92,-1.113,-31.217,30.104,manual_review_wall
Lib_Shrub_02.002,Collection,A_crater,-110.68,125.74,-1.292,-31.233,29.941,manual_review_wall
Flor_12,Collection,B_gorge,25.0,22.0,13.536,-16.328,29.864,manual_review_wall
Tallo_12,Collection,B_gorge,25.0,22.0,13.536,-16.328,29.864,manual_review_wall
Rock_Old_081,Collection,B_gorge,6.0,34.0,8.013,-21.663,29.676,manual_review_wall
Ribera_21_-1_0,Collection,B_gorge,31.7,15.81,15.147,-14.399,29.546,manual_review_wall
Ribera_21_-1_1,Collection,B_gorge,29.79,17.58,14.749,-14.719,29.468,manual_review_wall
Bridge_Part_01,Collection,B_gorge,48.58,-1.17,18.446,-10.979,29.425,manual_review_wall
Pasto_Alto_Z1_00,Collection,B_gorge,41.36,25.61,18.364,-10.894,29.258,manual_review_wall
Flor_14,Collection,B_gorge,0.0,35.0,6.594,-22.654,29.248,manual_review_wall
Tallo_14,Collection,B_gorge,0.0,35.0,6.594,-22.654,29.248,manual_review_wall
Ribera_21_-1_2,Collection,B_gorge,31.01,15.26,14.658,-14.444,29.102,manual_review_wall
Ribera_21_-1_3,Collection,B_gorge,31.11,15.15,14.661,-14.396,29.057,manual_review_wall
Lib_Rock_08.001,Collection,B_gorge,-4.79,47.69,4.566,-24.174,28.741,manual_review_wall
Rock_Old_067,Collection,B_gorge,68.24,-11.1,24.144,-4.335,28.479,manual_review_wall
Lib_Tree_02.003,Collection,B_gorge,-0.48,35.43,5.68,-22.754,28.434,manual_review_wall
Ribera_23_-1_2,Collection,B_gorge,42.68,25.2,18.593,-9.826,28.419,manual_review_wall
Rock_Old_026,Collection,B_gorge,-95.49,117.1,-4.627,-33.039,28.412,manual_review_wall
RiverReed_04_R,Collection,B_gorge,-25.32,62.23,1.911,-26.494,28.405,manual_review_wall
Lib_Rock_06.002,Collection,B_gorge,-7.97,36.01,4.64,-23.645,28.285,manual_review_wall
Flor_17,Collection,B_gorge,-15.0,40.0,3.98,-24.074,28.055,manual_review_wall
Tallo_17,Collection,B_gorge,-15.0,40.0,3.98,-24.074,28.055,manual_review_wall
WetLog_04,Collection,D_forest,92.0,-52.0,37.623,9.898,27.726,snap_bottom
Ribera_20_1_1,Collection,B_gorge,14.92,20.23,9.738,-17.985,27.723,manual_review_wall
Ribera_23_-1_0,Collection,B_gorge,43.04,25.5,18.584,-9.121,27.706,manual_review_wall
Rock_Old_066,Collection,B_gorge,58.47,-14.55,20.365,-7.219,27.584,manual_review_wall
Ribera_20_1_3,Collection,B_gorge,14.11,20.39,9.441,-18.103,27.544,manual_review_wall
RiverReed_04_L,Collection,B_gorge,-30.73,53.82,1.037,-26.482,27.519,manual_review_wall
Ribera_20_1_2,Collection,B_gorge,14.01,19.91,9.526,-17.895,27.421,manual_review_wall
Ribera_23_-1_1,Collection,B_gorge,42.55,26.37,18.426,-8.863,27.289,manual_review_wall
Pasto_Alto_Z4_04,Collection,B_gorge,57.09,-21.24,20.704,-6.442,27.146,manual_review_wall
Rock_Old_116,Collection,D_forest,92.12,-80.21,57.551,30.418,27.133,snap_bottom
Ribera_20_1_0,Collection,B_gorge,14.16,18.73,9.867,-17.16,27.028,manual_review_wall
WetLog_03,Collection,B_gorge,42.0,12.0,14.0,-12.628,26.628,manual_review_wall
River_Bank_Rock_03_R,Collection,B_gorge,36.71,22.2,12.224,-14.343,26.567,manual_review_wall
Ribera_23_-1_3,Collection,B_gorge,44.23,25.51,18.687,-7.786,26.474,manual_review_wall
River_Bank_Rock_03_L,Collection,B_gorge,31.29,13.8,12.159,-14.047,26.206,manual_review_wall
POI_ClearingShrub,Collection,B_gorge,-45.0,62.0,-2.311,-28.283,25.972,manual_review_wall
Ribera_20_-1_0,Collection,B_gorge,25.07,11.24,12.817,-12.492,25.308,manual_review_wall
Ribera_20_-1_2,Collection,B_gorge,25.41,10.58,12.846,-12.204,25.05,manual_review_wall
Flor_10,Collection,B_gorge,38.0,-5.0,16.111,-8.936,25.047,manual_review_wall
Tallo_10,Collection,B_gorge,38.0,-5.0,16.111,-8.936,25.047,manual_review_wall
RiverReed_03_L,Collection,B_gorge,31.27,13.82,10.531,-14.057,24.587,manual_review_wall
Pasto_Alto_Z1_03,Collection,B_gorge,53.54,15.12,20.537,-3.917,24.453,manual_review_wall
RiverReed_03_R,Collection,B_gorge,36.69,22.22,9.943,-14.344,24.287,manual_review_wall
Flor_4,Collection,B_gorge,14.0,16.0,10.491,-13.752,24.243,manual_review_wall
Tallo_4,Collection,B_gorge,14.0,16.0,10.491,-13.752,24.243,manual_review_wall
Lib_Tree_14.001,Collection,B_gorge,-55.31,64.87,-4.266,-28.385,24.119,manual_review_wall
Monti_10,Collection,B_gorge,-58.89,69.26,-5.369,-29.124,23.755,manual_review_wall
Ribera_20_-1_1,Collection,B_gorge,26.54,8.78,12.794,-10.935,23.729,manual_review_wall
Monti_04,Collection,B_gorge,-63.74,72.82,-5.718,-29.263,23.545,manual_review_wall
Ribera_20_-1_3,Collection,B_gorge,24.85,9.57,12.816,-10.653,23.47,manual_review_wall
RiverReed_05_R,Collection,B_gorge,-74.87,93.85,-6.051,-29.514,23.462,manual_review_wall
Monti_05,Collection,B_gorge,-63.02,70.25,-5.599,-28.791,23.192,manual_review_wall
Rock_Old_105,Collection,B_gorge,28.0,40.0,14.767,-8.333,23.101,manual_review_wall
Lib_Tree_13.001,Collection,B_gorge,-67.75,71.04,-5.03,-28.013,22.983,manual_review_wall
Monti_09,Collection,B_gorge,-68.16,77.16,-6.563,-29.506,22.944,manual_review_wall
Lib_Tree_16.001,Collection,B_gorge,-72.8,85.48,-6.613,-29.547,22.935,manual_review_wall
WetLog_02,Collection,B_gorge,-74.0,86.0,-6.666,-29.53,22.864,manual_review_wall
Bush_Old_116,Collection,B_gorge,-74.41,101.67,-2.562,-24.919,22.358,manual_review_wall
Rock_Old_025,Collection,B_gorge,-94.9,103.52,-8.08,-30.342,22.262,manual_review_wall
Bush_Old_014,Collection,D_forest,90.74,-83.81,59.32,37.067,22.254,snap_bottom
RiverReed_05_L,Collection,B_gorge,-81.25,86.14,-7.424,-29.522,22.098,manual_review_wall
Bush_Old_009,Collection,D_forest,73.96,-66.33,44.647,22.709,21.937,snap_bottom
Bush_Old_160,Collection,B_gorge,50.84,21.34,19.703,-1.988,21.691,manual_review_wall
Monti_07,Collection,B_gorge,-66.6,68.18,-4.459,-25.834,21.375,manual_review_wall
Bush_A26,Collection,B_gorge,-68.71,101.35,-0.853,-21.956,21.102,manual_review_wall
Bush_Old_175,Collection,B_gorge,0.0,60.19,8.91,-12.123,21.033,manual_review_wall
Rock_Old_101,Collection,B_gorge,35.0,-8.0,16.81,-4.124,20.934,manual_review_wall
Lib_Tree_23.025,Collection,B_gorge,-79.46,110.87,-1.418,-22.145,20.726,manual_review_wall
Rock_Old_108,Collection,B_gorge,-80.81,77.15,-5.293,-25.999,20.707,manual_review_wall
Ribera_23_1_3,Collection,B_gorge,31.78,38.3,15.25,-5.323,20.573,manual_review_wall
Rock_F09,Collection,B_gorge,57.36,-42.28,30.795,10.267,20.528,manual_review_wall
Lib_Tree_08.002,Collection,B_gorge,-14.94,69.32,6.799,-13.543,20.342,manual_review_wall
Ribera_23_1_1,Collection,B_gorge,32.87,37.91,15.462,-4.833,20.295,manual_review_wall
Rock_Old_103,Collection,B_gorge,50.0,-30.0,24.947,4.832,20.114,manual_review_wall
Lib_Tree_09.024,Collection,B_gorge,-79.33,111.36,-1.296,-21.318,20.023,manual_review_wall
Lib_Tree_15.002,Collection,A_crater,-105.54,118.35,-0.98,-20.72,19.74,manual_review_wall
Ribera_23_1_2,Collection,B_gorge,34.13,38.33,15.548,-3.507,19.055,manual_review_wall
Ribera_23_1_0,Collection,B_gorge,33.09,38.73,15.342,-3.678,19.019,manual_review_wall
Ribera_19_1_0,Collection,B_gorge,10.18,15.45,10.478,-8.48,18.958,manual_review_wall
Flor_3,Collection,B_gorge,12.0,14.0,10.907,-7.926,18.834,manual_review_wall
Tallo_3,Collection,B_gorge,12.0,14.0,10.907,-7.926,18.834,manual_review_wall
Ribera_19_1_1,Collection,B_gorge,8.55,16.42,10.169,-8.129,18.298,manual_review_wall
Ribera_19_1_2,Collection,B_gorge,10.4,14.84,10.636,-7.597,18.233,manual_review_wall
Lib_Tree_02.001,Collection,B_gorge,6.35,58.23,9.6,-8.512,18.112,manual_review_wall
Lib_Tree_06.039,Collection,B_gorge,-74.25,107.18,-0.775,-18.825,18.05,manual_review_wall
Lib_Tree_01.001,Collection,B_gorge,-19.86,74.54,5.756,-12.226,17.982,manual_review_wall
Ribera_19_1_3,Collection,B_gorge,10.18,14.86,10.624,-7.332,17.957,manual_review_wall
Lib_Tree_01.024,Collection,B_gorge,-74.02,107.31,-0.746,-18.522,17.776,manual_review_wall
Lib_Tree_17.029,Collection,B_gorge,-78.04,112.08,-0.931,-18.537,17.606,manual_review_wall
Rock_Old_082,Collection,other,160.05,-158.01,95.011,112.597,-17.586,snap_bottom
Rock_Old_083,Collection,other,160.05,-158.01,95.011,112.597,-17.586,snap_bottom
Lib_Tree_15.003,Collection,B_gorge,-47.6,91.34,0.86,-16.35,17.21,manual_review_wall
Lib_Tree_06.036,Collection,B_gorge,-77.64,111.97,-0.904,-18.112,17.208,manual_review_wall
Lib_Shrub_07.001,Collection,B_gorge,-31.71,40.83,3.842,-12.848,16.691,manual_review_wall
Cave_Rock_04,Collection,other,166.0,-167.0,89.629,106.314,-16.685,snap_bottom
Rock_M31,Collection,B_gorge,153.31,-133.3,96.514,113.105,-16.591,snap_bottom
Cave_Rock_02,Collection,other,161.0,-169.0,89.507,106.015,-16.508,snap_bottom
Bush_Old_177,Collection,B_gorge,81.51,-16.86,28.171,11.877,16.294,manual_review_wall
Rock_Old_057,Collection,B_gorge,51.6,27.39,19.035,3.31,15.725,manual_review_wall
Lib_Rock_08.005,Collection,other,166.42,-154.3,98.304,113.527,-15.224,snap_bottom
Flor_18,Collection,B_gorge,42.0,-22.0,21.384,6.234,15.15,manual_review_wall
Tallo_18,Collection,B_gorge,42.0,-22.0,21.384,6.234,15.15,manual_review_wall
Bush_Old_011,Collection,B_gorge,90.72,-92.73,63.715,48.639,15.077,manual_review_wall
Rock_M28,Collection,other,173.3,-167.4,87.701,102.0,-14.299,snap_bottom
Cave_Rock_03,Collection,other,171.0,-169.0,87.796,102.068,-14.272,snap_bottom
Lib_Shrub_02.001,Collection,B_gorge,-37.66,43.75,2.516,-11.301,13.816,manual_review_wall
Bush_Old_105,Collection,B_gorge,-84.62,75.51,-3.893,-17.488,13.594,manual_review_wall
Rock_M04,Collection,B_gorge,153.94,-127.06,96.827,109.995,-13.168,snap_bottom
Rock_M26,Collection,other,178.56,-148.36,93.466,106.454,-12.988,snap_bottom
Lib_Tree_16.023,Collection,B_gorge,60.04,-55.08,35.673,22.873,12.799,manual_review_wall
Cave_Rock_05,Collection,other,152.0,-169.0,96.043,108.774,-12.731,snap_bottom
Lib_Tree_08.001,Collection,B_gorge,-6.87,21.75,8.631,-3.838,12.469,manual_review_wall
Rock_Old_068,Collection,B_gorge,79.83,-10.65,27.027,14.844,12.183,manual_review_wall
Pasto_Alto_Z1_02,Collection,B_gorge,56.57,20.41,20.153,8.02,12.133,manual_review_wall
Rock_Old_114,Collection,D_forest,83.61,-87.74,57.579,45.756,11.823,snap_bottom
Flor_8,Collection,E_bridge,-10.0,22.0,8.072,-3.62,11.692,snap_bottom
Tallo_8,Collection,E_bridge,-10.0,22.0,8.072,-3.62,11.692,snap_bottom
Bush_A49,Collection,B_gorge,5.23,62.48,8.794,-2.74,11.534,manual_review_wall
Lib_Tree_15.025,Collection,B_gorge,-94.41,79.92,-3.356,-14.778,11.421,manual_review_wall
Rock_Old_113,Collection,D_forest,83.5,-88.32,57.731,46.5,11.23,snap_bottom
Log_Old_004,Collection,B_gorge,128.0,-119.0,88.551,99.67,-11.118,snap_bottom
Log_Old_005,Collection,B_gorge,129.0,-119.0,88.352,99.407,-11.054,snap_bottom
Ribera_19_-1_1,Collection,B_gorge,18.95,5.31,13.335,2.31,11.025,manual_review_wall
Lib_Tree_13.024,Collection,B_gorge,81.13,-10.97,27.42,16.43,10.991,manual_review_wall
Bush_Old_015,Collection,D_forest,66.39,-65.65,41.433,30.514,10.92,snap_bottom
Lib_Rock_03.002,Collection,B_gorge,-73.65,66.18,-2.87,-13.672,10.802,manual_review_wall
RiverReed_06_R,Collection,A_crater,-109.1,122.07,-10.082,-20.811,10.729,manual_review_wall
Log_Old_011,Collection,B_gorge,129.0,-118.25,88.337,98.971,-10.635,snap_bottom
Bush_Old_181,Collection,B_gorge,81.93,-11.69,27.548,17.079,10.469,manual_review_wall
Log_Old_017,Collection,B_gorge,129.0,-117.5,88.321,98.536,-10.216,snap_bottom
Bush_Old_158,Collection,B_gorge,58.2,20.65,20.218,10.014,10.204,manual_review_wall
Lib_Tree_03.001,Collection,E_bridge,-16.23,25.55,6.648,-3.462,10.111,snap_bottom
Cave_Rock_06,Collection,other,179.0,-170.0,86.038,95.919,-9.881,snap_bottom
Ribera_19_-1_3,Collection,B_gorge,17.73,4.96,13.469,3.597,9.872,manual_review_wall
Rock_M27,Collection,B_gorge,128.85,-142.92,97.449,107.189,-9.741,snap_bottom
Cave_Rock_00,Collection,other,156.0,-176.0,91.27,100.98,-9.71,snap_bottom
Lib_Tree_02.002,Collection,B_gorge,-43.26,44.14,2.314,-7.378,9.692,manual_review_wall
Cave_Rock_01,Collection,other,175.0,-175.0,80.503,89.934,-9.431,snap_bottom
Pasto_Alto_Z1_05,Collection,B_gorge,64.56,12.59,21.47,12.495,8.976,manual_review_wall
Rock_P09,Collection,B_gorge,-20.41,80.12,4.728,-4.245,8.973,manual_review_wall
RiverReed_06_L,Collection,A_crater,-114.89,113.96,-11.792,-20.756,8.964,manual_review_wall
Lib_Tree_19.004,Collection,B_gorge,76.89,-1.87,25.576,16.629,8.947,manual_review_wall
Bush_Old_010,Collection,D_forest,71.68,-74.06,46.51,38.059,8.45,snap_bottom
Lib_Tree_08.008,Collection,B_gorge,57.63,-56.32,35.04,26.875,8.165,manual_review_wall
Bush_Old_163,Collection,B_gorge,57.44,25.42,19.636,11.531,8.105,manual_review_wall
Ribera_19_-1_2,Collection,B_gorge,18.36,3.24,14.015,5.994,8.021,manual_review_wall
Ribera_19_-1_0,Collection,B_gorge,19.16,2.79,14.129,6.272,7.857,manual_review_wall
Lib_Tree_21.002,Collection,B_gorge,35.87,43.85,14.471,6.636,7.835,manual_review_wall
Rock_M30,Collection,other,126.03,-180.17,88.734,96.419,-7.685,snap_bottom
Bush_Old_003,Collection,B_gorge,-79.5,66.69,-2.388,-9.743,7.355,manual_review_wall
Lib_Tree_23.001,Collection,B_gorge,-35.1,34.44,5.14,-2.058,7.198,manual_review_wall
Bush_Old_111,Collection,B_gorge,-73.6,62.29,-1.685,-8.811,7.125,manual_review_wall
Log_A14,Collection,B_gorge,-77.33,65.94,-2.201,-9.32,7.119,manual_review_wall
Lib_Tree_08.033,Collection,B_gorge,73.97,3.44,23.647,16.671,6.976,manual_review_wall
Rock_Old_086,Collection,other,206.03,-141.97,71.436,78.397,-6.961,snap_bottom
Rock_Old_087,Collection,other,206.03,-141.97,71.436,78.397,-6.961,snap_bottom
Rock_P12,Collection,B_gorge,57.61,27.65,19.391,12.561,6.83,manual_review_wall
Lib_Tree_05.002,Collection,B_gorge,-44.48,95.3,0.935,-5.892,6.827,manual_review_wall
Ribera_24_-1_3,Collection,B_gorge,52.2,34.3,18.164,11.435,6.728,manual_review_wall
Lib_Tree_12.018,Collection,other,81.77,-4.9,26.117,19.482,6.635,snap_bottom
Lib_Tree_04.001,Collection,E_bridge,-23.73,26.39,6.389,-0.204,6.594,snap_bottom
Cave_Lip_Top,Collection,other,166.0,-185.0,92.345,85.859,6.486,snap_bottom
Rock_Old_092,Collection,other,-215.92,157.96,4.424,-2.047,6.471,snap_bottom
Rock_Old_093,Collection,other,-215.92,157.96,4.424,-2.047,6.471,snap_bottom
Rock_Old_117,Collection,other,79.74,-91.93,56.936,50.519,6.416,snap_bottom
Rock_M36,Collection,other,188.41,-177.65,77.979,84.046,-6.067,snap_bottom
Rock_M09,Collection,B_gorge,136.42,-113.04,88.166,94.096,-5.93,snap_bottom
Lib_Rock_01.002,Collection,other,86.14,-104.36,65.601,59.764,5.837,snap_bottom
Lib_Tree_16.006,Collection,B_gorge,-47.4,97.91,0.733,-4.918,5.651,manual_review_wall
Bush_Old_013,Collection,other,77.93,-91.89,55.855,50.289,5.566,snap_bottom
Ribera_24_-1_2,Collection,other,53.52,34.26,18.319,12.769,5.55,snap_bottom
Bush_Old_161,Collection,B_gorge,65.87,15.16,21.241,15.861,5.38,manual_review_wall
Rock_Old_059,Collection,other,59.13,27.7,19.473,14.101,5.372,snap_bottom
Rock_M10,Collection,other,120.43,-205.22,71.615,76.95,-5.336,snap_bottom
Flor_7,Collection,E_bridge,-12.0,18.0,7.989,2.745,5.244,snap_bottom
Tallo_7,Collection,E_bridge,-12.0,18.0,7.989,2.745,5.244,snap_bottom
Bush_Old_162,Collection,other,57.59,29.85,19.131,14.11,5.021,snap_bottom
Rock_M43,Collection,other,164.63,-155.95,108.539,113.547,-5.008,snap_bottom
Ribera_24_-1_1,Collection,other,53.89,34.4,18.288,13.335,4.953,snap_bottom
Rock_M33,Collection,other,173.81,-183.03,80.903,85.801,-4.897,snap_bottom
Rock_Old_063,Collection,other,11.52,62.43,9.066,4.169,4.897,snap_bottom
Lib_Tree_20.001,Collection,other,-1.89,127.78,8.573,3.756,4.817,snap_bottom
Rock_M21,Collection,B_gorge,100.85,-107.78,76.657,71.901,4.755,manual_review_wall
Rock_Old_084,Collection,other,184.0,-177.94,80.069,84.782,-4.713,snap_bottom
Rock_Old_085,Collection,other,184.0,-177.94,80.069,84.782,-4.713,snap_bottom
Ribera_24_-1_0,Collection,other,54.17,34.39,18.313,13.669,4.644,snap_bottom
Lib_Tree_20.002,Collection,other,-112.72,207.3,-4.954,-0.566,-4.388,snap_bottom
Bush_A25,Collection,E_bridge,-8.03,15.25,8.948,4.741,4.206,snap_bottom
Rock_Old_111,Collection,B_gorge,-89.28,69.92,-1.63,-5.66,4.03,manual_review_wall
Log_Old_012,Collection,B_gorge,124.0,-117.5,88.842,84.853,3.99,manual_review_wall
Lib_Tree_13.025,Collection,other,90.8,-15.9,29.844,25.855,3.989,snap_bottom
Lib_Tree_19.001,Collection,other,-48.92,41.45,2.727,-1.226,3.954,snap_bottom
Rock_Old_058,Collection,other,67.16,16.15,21.205,17.277,3.928,snap_bottom
Log_Old_006,Collection,B_gorge,124.0,-118.25,89.212,85.314,3.898,manual_review_wall
Log_Old_000,Collection,B_gorge,124.0,-119.0,89.582,85.776,3.806,manual_review_wall
Rock_M25,Collection,other,185.0,-191.79,72.941,76.729,-3.788,snap_bottom
Bush_Old_032,Collection,B_gorge,-65.13,53.78,-0.454,-3.929,3.475,manual_review_wall
Rock_M39,Collection,other,189.8,-131.24,83.716,87.034,-3.318,snap_bottom
Log_Old_013,Collection,B_gorge,125.0,-117.5,88.526,85.236,3.29,manual_review_wall
Rock_M12,Collection,other,144.66,-181.7,93.076,96.345,-3.269,snap_bottom
Bush_A35,Collection,E_bridge,-22.05,23.63,6.353,3.087,3.266,snap_bottom
Rock_M17,Collection,other,207.66,-177.52,62.721,65.964,-3.243,snap_bottom
Log_Old_007,Collection,B_gorge,125.0,-118.25,88.896,85.698,3.198,manual_review_wall
Bush_Old_006,Collection,B_gorge,-80.46,63.36,-1.503,-4.617,3.114,manual_review_wall
Log_Old_001,Collection,B_gorge,125.0,-119.0,89.266,86.159,3.107,manual_review_wall
Pasto_Alto_Z3_03,Collection,other,15.67,61.61,9.407,6.372,3.035,snap_bottom
Lib_Tree_08.032,Collection,other,89.71,-12.01,28.708,25.784,2.924,snap_bottom
Rock_M18,Collection,other,211.21,-154.39,65.998,68.919,-2.921,snap_bottom
Lib_Rock_03.001,Collection,other,3.87,70.38,7.797,4.937,2.86,snap_bottom
Rock_M13,Collection,other,95.16,-173.46,72.23,75.059,-2.829,snap_bottom
Cave_Lip_Right,Collection,other,178.0,-185.0,81.745,84.529,-2.784,raise_to_ground
Cave_Lip_Left,Collection,other,154.0,-185.0,91.495,88.817,2.677,snap_bottom
Rock_M38,Collection,other,210.78,-193.42,54.017,56.635,-2.619,snap_bottom
Log_Old_014,Collection,B_gorge,126.0,-117.5,88.21,85.62,2.59,manual_review_wall
Lib_Tree_08.030,Collection,other,86.7,-4.31,26.551,24.019,2.532,snap_bottom
Rock_M05,Collection,other,215.79,-154.19,61.61,64.135,-2.525,snap_bottom
Log_Old_008,Collection,B_gorge,126.0,-118.25,88.58,86.081,2.499,manual_review_wall
Log_Old_015,Collection,B_gorge,127.0,-117.5,88.483,86.003,2.48,manual_review_wall
Ribera_18_1_1,Collection,other,2.72,6.51,11.803,9.328,2.475,snap_bottom
Rock_M24,Collection,other,198.88,-162.79,75.252,77.701,-2.449,snap_bottom
Log_Old_002,Collection,B_gorge,126.0,-119.0,88.949,86.543,2.407,manual_review_wall
Lib_Tree_07.001,Collection,other,-8.7,78.92,6.018,3.698,2.32,snap_bottom
Log_Old_009,Collection,B_gorge,127.0,-118.25,88.735,86.465,2.27,manual_review_wall
Ribera_18_1_3,Collection,other,2.9,6.18,11.84,9.592,2.248,snap_bottom
Pasto_Alto_Z3_00,Collection,other,9.57,69.14,7.997,5.757,2.24,snap_bottom
Lib_Tree_21.026,Collection,other,-74.94,120.7,-0.174,-2.413,2.238,snap_bottom
Pasto_Alto_Z1_04,Collection,other,70.31,18.61,21.101,18.873,2.228,snap_bottom
Log_Old_016,Collection,B_gorge,128.0,-117.5,88.52,86.386,2.133,manual_review_wall
Lib_Tree_23.029,Collection,other,-74.96,120.99,-0.206,-2.269,2.064,snap_bottom
Pasto_Alto_Z3_04,Collection,other,11.32,69.24,8.067,6.116,1.95,snap_bottom
Lib_Tree_14.018,Collection,other,56.26,-67.99,37.63,35.699,1.931,snap_bottom
Lib_Rock_08.006,Collection,other,168.77,-107.88,84.354,86.283,-1.929,snap_bottom
Pasto_Alto_Z1_01,Collection,other,68.32,21.48,20.648,18.726,1.922,snap_bottom
Log_Old_003,Collection,B_gorge,127.0,-119.0,88.75,86.899,1.851,snap_bottom
Bush_Old_002,Collection,other,-95.23,71.22,-1.435,-3.284,1.849,snap_bottom
Lib_Tree_22.023,Collection,other,83.92,2.35,24.893,23.07,1.823,snap_bottom
Rock_M32,Collection,other,110.8,-137.44,90.995,92.781,-1.786,snap_bottom
Lib_Rock_08.003,Collection,other,165.77,-96.31,77.186,78.953,-1.767,snap_bottom
Ribera_24_1_0,Collection,other,42.69,44.79,15.445,13.717,1.728,snap_bottom
Log_Old_010,Collection,B_gorge,128.0,-118.25,88.536,86.837,1.698,snap_bottom
Lib_Tree_07.033,Collection,other,83.21,3.67,24.571,22.927,1.644,snap_bottom
Lib_Shrub_04.005,Collection,B_gorge,153.86,-109.33,89.784,88.143,1.641,snap_bottom
Lib_Tree_06.018,Collection,other,32.03,-27.94,20.387,21.99,-1.603,snap_bottom
Flor_16,Collection,other,30.0,-20.0,19.138,17.539,1.599,snap_bottom
Tallo_16,Collection,other,30.0,-20.0,19.138,17.539,1.599,snap_bottom
Ribera_24_1_1,Collection,other,41.55,46.16,15.044,13.465,1.579,snap_bottom
Tocon_Z3_00,Collection,other,24.48,61.05,10.161,8.585,1.576,snap_bottom
Ribera_18_1_2,Collection,other,1.65,6.14,11.491,9.951,1.541,snap_bottom
Lib_Tree_02.028,Collection,other,92.09,-8.51,28.092,26.612,1.481,snap_bottom
